Index,affected_asn,affected_prefix,domain,edit_distance,end_time,event_id,event_type,prefix_list,start_time,status,suspicious_links,suspicious_links_nation,vp_count
0,29046,91.135.192.0/22,asausoft.kz;asaucom.kz;rbk-ip.kz;rbk.kz,3001.8777632747083,-,ARES-HIJACK-1769440132-29046-91.135.192.0/22-Hijack-AGGREGATED,Ongoing Path Hijack,91.135.192.0/22;91.135.193.0/24;91.135.192.0/24;91.135.194.0/24;91.135.195.0/24,1769440132000,Ongoing,29046;210686,KZ;KZ,24
1,28188,189.89.241.0/24,,4168.826778358474,-,ARES-HIJACK-1769438886-28188-189.89.241.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,189.89.241.0/24;189.89.242.0/23,1769438886000,Ongoing,28188;274514,BR;BR,34
2,206065,188.121.128.0/24,,2933.408545889013,-,ARES-HIJACK-1769437985-206065-188.121.128.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,188.121.128.0/24,1769437985000,Ongoing,206065;12880,IR;IR,47
3,262729,177.92.203.0/24,,1450.4257052097723,-,ARES-HIJACK-1769437949-262729-177.92.203.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,177.92.203.0/24,1769437949000,Ongoing,262729;53013,BR;BR,6
4,28135,187.86.4.0/24,rix.com.br,266.0398562412989,-,ARES-HIJACK-1769436755-28135-187.86.4.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,187.86.4.0/24;177.46.13.0/24,1769436755000,Ongoing,264409;5405,BR;DE,5
5,267501,45.183.132.0/24,,318.42147074233776,-,ARES-HIJACK-1769436723-267501-45.183.132.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,45.183.132.0/24;45.183.133.0/24,1769436723000,Ongoing,264409;5405,BR;DE,5
6,48887,217.8.32.0/20,imon.tj;eskhata.tj,2028.6646876784146,-,ARES-HIJACK-1769427644-48887-217.8.32.0/20-Hijack-AGGREGATED,Ongoing Path Hijack,217.8.32.0/20,1769427644000,Ongoing,3216;28910,RU;UZ,19
7,139341,43.175.94.0/24,,1062.0268021810436,-,ARES-HIJACK-1769425995-139341-43.175.94.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,43.175.94.0/24,1769425995000,Ongoing,208293;12297,IQ;AM,23
8,58243,80.246.120.0/23,,458.62347278922334,-,ARES-HIJACK-1769425953-58243-80.246.120.0/23-Hijack-AGGREGATED,Ongoing Path Hijack,80.246.120.0/23;80.246.124.0/23,1769425953000,Ongoing,58243;24785,DE;NL,9
9,53038,107.150.167.0/24,,985.2194720868778,-,ARES-HIJACK-1769421466-53038-107.150.167.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,107.150.167.0/24,1769421466000,Ongoing,264409;5405,BR;DE,15
10,132839,103.54.124.0/24,,1218.4285064473493,-,ARES-HIJACK-1769410429-132839-103.54.124.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,103.54.124.0/24,1769410429000,Ongoing,132839;10103,HK;HK,34
11,327885,196.249.113.0/24,,301.643612326467,1769424280000,ARES-HIJACK-1769408246-327885-196.249.113.0/24-Hijack-AGGREGATED,Finish Path Hijack,196.249.113.0/24,1769408246000,Finish,5511;37662,FR;MU,6
12,132203,211.152.128.0/23,,397.89195343855994,-,ARES-HIJACK-1769404661-132203-211.152.128.0/23-Hijack-AGGREGATED,Ongoing Path Hijack,211.152.128.0/23,1769404661000,Ongoing,21859;4800,US;ID,7
13,54253,170.9.100.0/23,,529.614324729279,-,ARES-HIJACK-1769384611-54253-170.9.100.0/23-Hijack-AGGREGATED,Ongoing Path Hijack,170.9.100.0/23,1769384611000,Ongoing,263009;37468,BR;AO,9
14,48887,217.8.32.0/20,imon.tj;eskhata.tj,2029.6671045496716,1769395100000,ARES-HIJACK-1769374954-48887-217.8.32.0/20-Hijack-AGGREGATED,Finish Path Hijack,217.8.32.0/20,1769374954000,Finish,3216;28910,RU;UZ,19
15,204601,193.22.21.0/24,kinoman.plus;serial-yopta.online;medspravo4ka-54.ru;kino-kek.online;casinoadmiral888.online;casino-bid.com;garri-potter-lordfilm.ru;slivshkur.club;casinorussia.ru;arohamuzic.com;colorspopping.com;kinokrad.mobi;vavadanga.ru;spbescort.club;kino-kek.pro;kino-ok.one;euroleagues.net;panousopoulos.com;vavada4.kz;xn----7sbgyjuajji.xn--p1ai;kuwat.top;pelvicawareness.com;vavada7.kz;dary-love.ru;kino-yopta.vin;mehack.cc;gamesdll.ru;fmlkost.kz;kartul.biz;kino-yopta.ink;cmotret.com;analslutty.com;med-96.ru;medspravka-66.ru;slivshkur.net;diplom77.ru;eyeofgod.in;cabura.team;filmpro.tv;dimmer.az;dragn.pro;kino-kek.live;arbc.chat;pornolime.com;hentasis1.top;lucky-jet.international;premium-diplom.ru;2ndscena.ru;frontpagefame.com;vavada1.kz;pyat-nochey-s-freddy-lordfilm.ru;allawnalzaahiwebdesign.com;kino-kek.ink;kinolaym.com;buxmonitor.ru;kino-yopta.one;onewin.biz;kinogo-net.biz;kinogo-onlain.net;lolz.su;dalacom.kz;tvseriya.tv;kino-epta.live;hello-spb.ru;egtravel.ru;1stclassdating.com;rc-comics.com;gps-monitoring.kiev.ua;maturesdoporn.com;720-kino.net;mormonthefilm.com;pays24.ru;russiandiplom77.com;copybaza.ru;bonuskazino.org;kino-yopta.live;kino-ep.ink;helidosajets.com;bitcarukraine.com.ua;prodcs.ru;kino-video.online;kino-kek.link;datix.space;casinoplay.kz;1upi-x.me;sliv-photo.ru,699.5299226771898,-,ARES-HIJACK-1769353000-204601-193.22.21.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,193.22.21.0/24;45.147.197.0/24;81.91.178.0/24;92.119.113.0/24,1769353000000,Ongoing,204601;51162,NL;KZ,10
16,25532,90.156.200.0/24,exeed.ru;omoda.ru;kant-sport.ru;masterhost.ru;jaecoo.ru;pocketoption.ru;smarttractor.ru;gremir.ru;abajur-shop.ru;slaviabank.ru;bereit.ru;chasy-remni.ru;shtilniisad.ru;mikron.ru;progressfood.ru;tsepi.su;wellnessbeauty.ru;mirvesov.ru;imperial-porcelain.ru;ok4u.club;mastername.ru,883.8210056292091,-,ARES-HIJACK-1769353000-25532-90.156.200.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,90.156.200.0/24;90.156.132.0/24,1769353000000,Ongoing,25532;51162,RU;KZ,13
17,29182,185.253.34.0/23,kazanb.ru;pro-polotencesushitel.ru;sa-mara.ru;oniksmobile.ru;sochigraf.ru;multihost.ru;comfortsteam.ru;goodsurgut.ru;habarovskgid.ru;30w.ru;g59.ru;vladik25.ru;vbprofi.ru;ryazansk.ru;g38.ru;salut.ru;domarket.ru;santehuroki.ru;monblan-narcology.ru;de-ulan-ude.ru;riadagestan.ru;anixart.tv;42g.ru;o-m-s-k.ru;action-start.ru;aqq.ru;alternate-politics.info;fomsk.ru;w74.ru;stalkermix.ru;g74.ru;restoll.ru;xn--80abvivhbeqe0h.xn--p1ai;act-auto.ru;gornaltaysk.ru;betonaktiv.ru;3sen.ru;nvartovsk86.ru;mgli.ru;kaliningraf.ru;7kr.ru;yesprice.ru;blagodarstroy.ru;trikky.ru;successmobile.ru;bar22.ru;marina-sochi.ru;86n.ru;pro-voinu.info;home-plant.ru;pharmeconom.ru;remrai.ru;sts-bel.ru;mfua.ru;gkdk.ru;po-voronezhu.ru;krasndar.ru;vimos.ru;multihost.cloud;tltweb.su;rostovc.ru;yaotdam.ru;ww1.ru;izhevchane.ru;multihost.com;nitagil.ru;pc-expertus-estate.ru;ekaterinburgskiy-dommebeli.ru;technosuccess.ru;rus-troika.ru;biyskonline.ru;42nk.ru;proficosmetics.ru;mitu-masi.ru;tulac.ru;woscow.ru;gorenburg.ru;70w.ru;avicenna-spb.ru;fireboxclub.com;e-66.ru;uninic.ru;54e.ru;pharmgarant.ru;blank-dogovor-kupli-prodazhi.online;obelgorod.ru;volga-dnepr.com;45k.ru;72g.ru;narkolog.express;defektoskopist.ru;magnitograd.ru;w77.ru;indpart.ru;imper.su;masi.ru;crimtan.ru;ufagraf.ru;fireboxstore.ru,672.9622411366805,-,ARES-HIJACK-1769353000-29182-185.253.34.0/23-Hijack-AGGREGATED,Ongoing Path Hijack,185.253.34.0/23;212.109.222.0/24;213.159.210.0/23;37.230.118.0/23;80.87.203.0/24;82.202.170.0/23;82.202.172.0/23;82.202.174.0/23,1769353000000,Ongoing,29182;51162,RU;KZ,10
18,44112,77.222.36.0/24,angiopharm.com;sovetskaya-adygeya.ru;vineta.ru,966.6379152601485,-,ARES-HIJACK-1769353000-44112-77.222.36.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,77.222.36.0/24;77.222.39.0/24;77.222.44.0/24,1769353000000,Ongoing,44112;51162,RU;KZ,13
19,49505,185.189.164.0/24,indust-group.ru;g-it.ru;simpledigital.pro;pro-data.tech;siams.com;atmd.ru;intermarkrelocation.ru;xn--80abkzflr.com;photostoria.ru;propiska-krasnoyarsk24.online;etherway.ru;bejet.ru;3nv.ru;excbt.ru;volhov.ru;korrektsiya-zreniya.ru;mosline.ru;itl-service.ru;izhcombank.ru;kristallgold.ru;al-ve.ru;tseh85.ru;bitrix24.shop;nadeks.ru;aktivavto.ru;nzfond.ru;bitrix24site.ru;axiom24.ru;lightspeed.ru;i-t-trade.ru;laximo.ru;yunicom.ru;obcom.su;grand-capital.pro;consultant-rostov.ru;sit-co.ru;sozdavatel.ru;xn----7sbbbkif1cvjtwj2a.xn--p1ai;gharysh.kz;webpay.by;altit.ru;sputnik.systems;domsporta.com;dkomi.ru;komoks.ru;press161.ru;kulikov.com;supsrv.ru;escomtel.ru;rnova.org;coredatanet.ru;smtp.bz;nnov.tech;zis.by;itvgroup.ru;bls.ru;ithop.ru;avkconsul.ru;optic-inet.ru;konversta.com;abl-all.ru;railall.ru;ithelp.group;redunisystem.ru;qm-s.com;vodacom.ru;rnova.ru;tstarter.ru;internetdeveloper.ru;law-terra.ru;zabotix.ru;ru-sys.com;omikom.ru;gid.team;science4school.com;plvdurak.online;fox-pizza.ru;gefera.ru;optimatel.ru;editorum.ru;efsystem.ru;conteq.ru;maxis-it.ru;muzey-zamka.ru;firstbit.com;energoatlas.com;sprint4g.ru;xn----dtbhofdbekqeb1bdf6n.xn--p1ai;trckmg.com;don-in-law.ru;infiit.ru;bitrix24shop.ru;elbamebel.com;avecme.ru;it-dep.ru;hdsys.ru;talarix.ru;geometrika.su;bestrank.ru;bitrix24.site;skkmonolit.ru;rrk-group.ru;nikol.biz;digitalrzd.ru;tseh85.com;ocscomp.ru,785.512393280699,-,ARES-HIJACK-1769353000-49505-185.189.164.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,185.189.164.0/24;185.137.235.0/24;92.255.4.0/24;92.53.74.0/24;92.53.93.0/24;94.26.255.0/24;95.213.160.0/24,1769353000000,Ongoing,49505;51162,RU;KZ,11
20,50340,185.187.199.0/24,geotehdigest.ru;sailid-textil.ru;kraskainfo.ru;25-35.ru;natv.su;uo-vmr-mo.ru;sauna37.ru;artstroy-rnd.ru;lipcadet.ru;mebelant.ru;tvin.su;bigstok.ru;zaboryprofi.ru;puscopes.ru;clubsfitness.ru;topdostavki.ru;pikorion.ru;banka.shop;casinoxkrotkrot.top;sadiktop.ru;comparativestudies.ru;oven-auto.ru;oknakatalog.ru;4webs.ru;elektroshema.ru;kogschool7.ru;quizguess.ru;evenbox.ru;goldfishkakrot.top;expertsib.ru;skyserve.ru;vjazaniemaster.ru;jinkl.ru;learn-excel.ru;thelastchance.ru;gigapolis.ru;xn---11-5cdabd5acj9bcnxkjfsdy4m6f.xn--p1ai;siberia-climat.com;kulotinoadm.ru;stroitel5.ru;tatet.ru;expressbuket24.ru;podelosik.ru;modnyeidei.ru;myalize.ru;garmos.ru;carbar-wash.ru;td-visio.ru;narkology-161.ru;kartaa.ru;xn--80aiapzfpcjfm.xn--p1ai;spalnidizajn.ru;aviator-market.ru;hubfreelancer.ru;ckd-zaozernoe.ru;cosmeticsstores.ru;igralet.ru;aurumcapital.ru;rgexp.ru;pokumio.ru;vseocorgi.ru;vsevleto-ug.ru;sovest-bank.ru;defendcar.com;tsitron.ru;narko-clinic.com;povarsovkusom.ru;slivkimebeli.ru;po-svs.ru;otzoviktop.ru;shino-mon.ru;masterimvmeste.ru;stardacasinos.ru;rud-met.ru;craft-burger-petergof.ru;autoshk.ru;vos-bazar.ru;praktikait.ru;grachevgold.ru;aptekavgorode.ru;serebro-shop.ru;landshaftblog.ru;rutuner.ru;forbrides.ru;gidvyazanja.ru;codehab.ru;clinicamalyshevoy.ru;vsemedcentry.ru;vopr-otv.ru;museumdolls.ru;sg-v.ru;podarkimaster.ru;dveriportal.ru;mvkursk.ru;uraldesk.ru;avitologforbiz.ru;o-promyshlennosti.ru;sro-medium.ru;realnoli.ru;mirsumok.su;mos-radius.ru;ugansk.ru;hostiman.ru;rostov-gcms.ru;miomebel.ru;rialpro-spb.ru,670.7924566122545,-,ARES-HIJACK-1769353000-50340-185.187.199.0/24-Hijack-AGGREGATED,Ongoing Path Hijack,185.187.199.0/24;176.112.90.0/24;81.90.180.0/22;85.119.149.0/24;92.53.94.0/24;92.53.95.0/24;95.213.255.0/24,1769353000000,Ongoing,50340;51162,RU;KZ,10
