Index,Description,attacker,data-plane-detection,detail_param,duration,end_time,event_type,example_prefix,hijack_as_percent,level,level_reason,prefix_list,prefix_num,start_time,victim
0,Victim:BR/AS 22129 ()<br> Attacker:BR/AS 53107 (),53107,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 200.162.176.0/20</div> <div>subprefix: 200.162.188.0/22</div>,97.22,low,,200.162.188.0/22;200.162.176.0/20,1,1769394185810,22129
1,Victim:US/AS 3561 (CENTURYLINK-LEGACY-SAVVIS)<br> Attacker:US/AS 10753 (LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE),10753,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 205.138.240.0/20</div> <div>subprefix: 205.138.249.0/24</div>,97.14,low,,205.138.249.0/24;205.138.240.0/20,1,1769394185100,3561
2,Victim:MX/AS 263150 ()<br> Attacker:US/AS 395565 (MIEMX),395565,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 201.131.192.0/21</div> <div>subprefix: 201.131.196.0/24</div>,85.71,low,,201.131.196.0/24;201.131.192.0/21,1,1769394183660,263150
3,Victim:DO/AS 266798 ()<br> Attacker:DO/AS 267862 (),267862,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 45.235.228.0/22</div> <div>subprefix: 45.235.231.0/24</div>,86.08,low,,45.235.231.0/24;45.235.228.0/22,1,1769370354420,266798
4,Victim:AR/AS 266813 ()<br> Attacker:AR/AS 52349 (),52349,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 45.236.40.0/22</div> <div>subprefix: 45.236.43.0/24</div>,98.59,low,,45.236.43.0/24;45.236.40.0/22;45.236.40.0/24;45.236.40.0/22,2,1769394081680,266813
5,Victim:BR/AS 268609 ()<br> Attacker:BR/AS 52941 (),52941,Low Possibility,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 45.164.84.0/22</div> <div>subprefix: 45.164.84.0/23</div>,94.59,low,,45.164.84.0/23;45.164.84.0/22,1,1769370338380,268609
6,Victim:JM/AS 40786 (DIGI-GRP-JAM)<br> Attacker:BB/AS 35900 (DIGI-BDS-ASN),35900,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 173.225.240.0/20</div> <div>subprefix: 173.225.251.0/24</div>,98.57,low,,173.225.251.0/24;173.225.240.0/20,1,1769370321350,40786
7,Victim:US/AS 6062 (NETPLEX)<br> Attacker:NL/AS 15830 (Equinix),15830,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 192.250.0.0/20</div> <div>subprefix: 192.250.6.0/24</div>,80.23,middle,6062 is Cloud|IDC|CDN or top content provider.,192.250.6.0/24;192.250.0.0/20;192.250.7.0/24;192.250.0.0/20,2,1769394183990,6062
8,Victim:US/AS 18789 (NETMLH-AS)<br> Attacker:IL/AS 198949 (Radware),198949,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 208.88.12.0/22</div> <div>subprefix: 208.88.14.0/23</div>,93.06,low,,208.88.14.0/23;208.88.12.0/22;208.88.12.0/23;208.88.12.0/22,2,1769370311330,18789
9,Victim:SV/AS 271948 ()<br> Attacker:HN/AS 273189 (),273189,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 204.157.224.0/23</div> <div>subprefix: 204.157.225.0/24</div>,90.79,low,,204.157.225.0/24;204.157.224.0/23,1,1769370353520,271948
10,Victim:US/AS 40111 (PARKERFIBERNET-AS-ROUTE)<br> Attacker:US/AS 40072 (TCSG),40072,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 72.162.0.0/22</div> <div>subprefix: 72.162.1.0/24</div>,94.74,low,,72.162.1.0/24;72.162.0.0/22,1,1769370299300,40111
11,Victim:GB/AS 49765 (Comms365)<br> Attacker:US/AS 393559 (WEBBING-USA),393559,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 109.72.16.0/20</div> <div>subprefix: 109.72.17.0/24</div>,95,low,,109.72.17.0/24;109.72.16.0/20,1,1769370291490,49765
12,Victim:US/AS 13877 (WENDYS-DUBLIN)<br> Attacker:US/AS 10753 (LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE),10753,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 216.87.240.0/20</div> <div>subprefix: 216.87.254.0/24</div>,98.57,low,,216.87.254.0/24;216.87.240.0/20;216.87.255.0/24;216.87.240.0/20,2,1769394185100,13877
13,Victim:US/AS 13778 (JOHNSON-AND-JOHNSON)<br> Attacker:US/AS 8075 (MICROSOFT-CORP-MSN-AS-BLOCK),8075,Not done,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 2620:147::/36</div> <div>subprefix: 2620:147:160::/48</div>,49.15,low,,2620:147:160::/48;2620:147::/36,1,1769421956640,13778
14,Victim:CA/AS 26288 (KNET-1)<br> Attacker:CA/AS 400288 (TAMAANI-01),400288,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 69.71.64.0/20</div> <div>subprefix: 69.71.76.0/24</div>,89.74,low,,69.71.76.0/24;69.71.64.0/20;69.71.71.0/24;69.71.64.0/20,2,1769394183700,26288
15,Victim:BR/AS 262751 ()<br> Attacker:BR/AS 273715 (),273715,Low Possibility,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 187.0.24.0/22</div> <div>subprefix: 187.0.27.0/24</div>,91.36,middle,262751 is Cloud|IDC|CDN or top content provider.,187.0.27.0/24;187.0.24.0/22,1,1769361173350,262751
16,Victim:US/AS 21769 (AS-COLOAM)<br> Attacker:US/AS 12029 (ERICA-LEONARD-PUBLISHING-LLC),12029,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 103.47.56.0/22</div> <div>subprefix: 103.47.56.0/24</div>,92.11,middle,21769 is Cloud|IDC|CDN or top content provider.,103.47.56.0/24;103.47.56.0/22,1,1769385382950,21769
17,Victim:RU/AS 8775 (ICMM-UB-RAS)<br> Attacker:RU/AS 198774 (PERMRMT),198774,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 195.69.156.0/22</div> <div>subprefix: 195.69.158.0/24</div>,91.67,low,,195.69.158.0/24;195.69.156.0/22,1,1769327464960,8775
18,Victim:US/AS 6493 (BEACON-TECHNOLOGIES-AS)<br> Attacker:US/AS 14374 (AGRI-VALLEY),14374,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 209.195.224.0/20</div> <div>subprefix: 209.195.224.0/21</div>,83.54,low,,209.195.224.0/21;209.195.224.0/20,1,1769327464330,6493
19,Victim:KR/AS 3786 (LGDACOM)<br> Attacker:KR/AS 45382 (EHOSTIDC-AS-KR),45382,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 180.150.224.0/21</div> <div>subprefix: 180.150.229.0/24</div>,81.82,low,,180.150.229.0/24;180.150.224.0/21;180.150.224.0/24;180.150.224.0/21,2,1769327463870,3786
20,Victim:US/AS 17252 (AS2-COLOAM)<br> Attacker:US/AS 13332 (HYPEENT-SJ),13332,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 67.227.0.0/21</div> <div>subprefix: 67.227.1.0/24</div>,87.65,middle,17252 is Cloud|IDC|CDN or top content provider.,67.227.1.0/24;67.227.0.0/21,1,1769370315470,17252
21,Victim:US/AS 46231 (WATCHCOMM-IN)<br> Attacker:US/AS 19112 (NEW-LISBON-BROADBAND-AND-COMMUNICATIONS),19112,Low Possibility,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 205.185.12.0/22</div> <div>subprefix: 205.185.12.0/24</div>,86.59,low,,205.185.12.0/24;205.185.12.0/22,1,1769394188300,46231
22,Victim:IT/AS 198128 (ASN-CONNECTING)<br> Attacker:IT/AS 198471 (OPNET-AS),198471,Low Possibility,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 78.159.200.0/22</div> <div>subprefix: 78.159.202.0/24</div>,82.89,low,,78.159.202.0/24;78.159.200.0/22;78.159.203.0/24;78.159.200.0/22;78.159.200.0/24;78.159.200.0/22;78.159.201.0/24;78.159.200.0/22,4,1769394185590,198128
23,Victim:US/AS 3561 (CENTURYLINK-LEGACY-SAVVIS)<br> Attacker:US/AS 54040 (NBCUNI),54040,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 216.39.32.0/20</div> <div>subprefix: 216.39.34.0/23</div>,87.34,low,,216.39.34.0/23;216.39.32.0/20,1,1769394192400,3561
24,Victim:CA/AS 26288 (KNET-1)<br> Attacker:CA/AS 400288 (TAMAANI-01),400288,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 64.184.192.0/20</div> <div>subprefix: 64.184.194.0/23</div>,91.14,low,,64.184.194.0/23;64.184.192.0/20,1,1769394192230,26288
25,Victim:SE/AS 60269 (XYLEMINC-AS)<br> Attacker:NL/AS 15830 (Equinix),15830,Low Possibility,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 199.253.96.0/20</div> <div>subprefix: 199.253.111.0/24</div>,80.49,low,,199.253.111.0/24;199.253.96.0/20,1,1769327465110,60269
26,Victim:BR/AS 28135 ()<br> Attacker:BR/AS 265290 (),265290,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 177.46.32.0/20</div> <div>subprefix: 177.46.32.0/23</div>,95.12,low,,177.46.32.0/23;177.46.32.0/20,1,1769370340380,28135
27,Victim:GB/AS 24867 (Adapt-AS)<br> Attacker:GB/AS 15395 (RACKSPACE-LON),15395,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 164.138.224.0/21</div> <div>subprefix: 164.138.226.0/24</div>,95.65,middle,24867 is Cloud|IDC|CDN or top content provider.,164.138.226.0/24;164.138.224.0/21,1,1769394192770,24867
28,Victim:US/AS 3561 (CENTURYLINK-LEGACY-SAVVIS)<br> Attacker:US/AS 53928 (FORTINET-53928),53928,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 63.137.224.0/20</div> <div>subprefix: 63.137.229.0/24</div>,90.54,low,,63.137.229.0/24;63.137.224.0/20,1,1769394187630,3561
29,Victim:CA/AS 26288 (KNET-1)<br> Attacker:CA/AS 400288 (TAMAANI-01),400288,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 64.184.208.0/20</div> <div>subprefix: 64.184.218.0/24</div>,89.74,low,,64.184.218.0/24;64.184.208.0/20,1,1769394192230,26288
30,Victim:BR/AS 267388 ()<br> Attacker:BR/AS 270257 (),270257,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 45.4.156.0/22</div> <div>subprefix: 45.4.156.0/24</div>,96.2,low,,45.4.156.0/24;45.4.156.0/22,1,1769423971390,267388
31,Victim:US/AS 62943 (AS62943-BLUEBIRD-NETWORK)<br> Attacker:US/AS 27258 (KAMOPOWER),27258,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 67.223.208.0/21</div> <div>subprefix: 67.223.215.0/24</div>,91.78,low,,67.223.215.0/24;67.223.208.0/21,1,1769394186050,62943
32,Victim:US/AS 36352 (AS-COLOCROSSING)<br> Attacker:IN/AS 203020 (HostRoyale),203020,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 192.210.152.0/21</div> <div>subprefix: 192.210.155.0/24</div>,89.33,middle,4 websites in the prefix.,192.210.155.0/24;192.210.152.0/21,1,1769370212390,36352
33,Victim:US/AS 8175 (HIGHSPEEDWEB)<br> Attacker:US/AS 400885 (OPTNET),400885,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 69.85.80.0/20</div> <div>subprefix: 69.85.90.0/24</div>,93.75,low,,69.85.90.0/24;69.85.80.0/20,1,1769327464940,8175
34,Victim:IR/AS 50810 (Mobinnet-AS)<br> Attacker:GR/AS 35372 (DataCom),35372,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 46.36.102.0/23</div> <div>subprefix: 46.36.103.0/24</div>,86.36,low,,46.36.103.0/24;46.36.102.0/23,1,1769394199650,50810
35,Victim:US/AS 6325 (ILLINOIS-CENTURY)<br> Attacker:US/AS 55057 (CHI-ILAG),55057,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 163.191.96.0/20</div> <div>subprefix: 163.191.111.0/24</div>,83.72,low,,163.191.111.0/24;163.191.96.0/20;163.191.110.0/24;163.191.96.0/20,2,1769394189240,6325
36,Victim:CA/AS 26288 (KNET-1)<br> Attacker:CA/AS 400288 (TAMAANI-01),400288,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 66.165.208.0/20</div> <div>subprefix: 66.165.215.0/24</div>,91.14,low,,66.165.215.0/24;66.165.208.0/20,1,1769394183700,26288
37,Victim:DM/AS 40945 (SATTEL)<br> Attacker:LC/AS 33582 (DIGICEL-OECS),33582,Low Possibility,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 199.127.196.0/22</div> <div>subprefix: 199.127.199.0/24</div>,94.94,low,,199.127.199.0/24;199.127.196.0/22,1,1769370328390,40945
38,Victim:US/AS 14638 (LCPRL)<br> Attacker:PR/AS 11367 (ICENET),11367,Low Possibility,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 24.48.216.0/21</div> <div>subprefix: 24.48.220.0/23</div>,95.24,low,,24.48.220.0/23;24.48.216.0/21,1,1769370371360,14638
39,Victim:US/AS 3561 (CENTURYLINK-LEGACY-SAVVIS)<br> Attacker:US/AS 33087 (AMCOI),33087,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 64.209.128.0/20</div> <div>subprefix: 64.209.138.0/24</div>,90.54,low,,64.209.138.0/24;64.209.128.0/20,1,1769394186940,3561
40,Victim:US/AS 21769 (AS-COLOAM)<br> Attacker:US/AS 54103 (MODMC-54103-AS),54103,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 124.158.100.0/22</div> <div>subprefix: 124.158.102.0/24</div>,95.89,middle,21769 is Cloud|IDC|CDN or top content provider.,124.158.102.0/24;124.158.100.0/22;124.158.103.0/24;124.158.100.0/22,2,1769439555560,21769
41,Victim:JM/AS 40786 (DIGI-GRP-JAM)<br> Attacker:KY/AS 13771 (DIGICEL-CAYMAN),13771,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 66.249.144.0/20</div> <div>subprefix: 66.249.154.0/24</div>,95.83,low,,66.249.154.0/24;66.249.144.0/20;66.249.152.0/23;66.249.144.0/20,2,1769370368400,40786
42,Victim:JM/AS 40786 (DIGI-GRP-JAM)<br> Attacker:AG/AS 396304 (ANU-DIGI),396304,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 66.249.144.0/20</div> <div>subprefix: 66.249.146.0/24</div>,98.57,low,,66.249.146.0/24;66.249.144.0/20,1,1769370332380,40786
43,Victim:BR/AS 13878 ()<br> Attacker:BR/AS 10429 (),10429,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 200.202.112.0/20</div> <div>subprefix: 200.202.116.0/24</div>,89.61,low,,200.202.116.0/24;200.202.112.0/20,1,1769394191470,13878
44,Victim:US/AS 46191 (5LINX-ASN)<br> Attacker:US/AS 11696 (NBS11696),11696,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 199.96.214.0/23</div> <div>subprefix: 199.96.214.0/24</div>,93.24,low,,199.96.214.0/24;199.96.214.0/23,1,1769439547550,46191
45,Victim:BR/AS 265238 ()<br> Attacker:/AS 274336 (),274336,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 167.250.244.0/22</div> <div>subprefix: 167.250.247.0/24</div>,90.91,low,,167.250.247.0/24;167.250.244.0/22,1,1769394198110,265238
46,Victim:JM/AS 40786 (DIGI-GRP-JAM)<br> Attacker:TC/AS 394311 (DIGTCI),394311,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 173.225.240.0/20</div> <div>subprefix: 173.225.254.0/24</div>,97.22,low,,173.225.254.0/24;173.225.240.0/20,1,1769394196940,40786
47,Victim:GB/AS 50063 (SAINSBURYS-NET)<br> Attacker:GB/AS 56460 (O2-WIFI-AS),56460,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 109.94.128.0/21</div> <div>subprefix: 109.94.132.0/22</div>,92,low,,109.94.132.0/22;109.94.128.0/21,1,1769394196670,50063
48,Victim:US/AS 195 (SDSC-AS)<br> Attacker:US/AS 46985 (HPWREN),46985,Not Hijacking,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 198.202.112.0/20</div> <div>subprefix: 198.202.124.0/23</div>,93.9,middle,195 is Cloud|IDC|CDN or top content provider.,198.202.124.0/23;198.202.112.0/20,1,1769394196730,195
49,Victim:US/AS 13767 (DATABANK-DFW)<br> Attacker:US/AS 3791 (ASCENSION-KSWIC),3791,No Result,[object Object],-,-,Ongoing Possible SubHijack,<div>prefix: 198.186.64.0/21</div> <div>subprefix: 198.186.69.0/24</div>,83.75,low,,198.186.69.0/24;198.186.64.0/21,1,1769394192350,13767
50,Victim:US/AS 13855 (CFU-NET)<br> Attacker:US/AS 19165 (WEBPASS),19165,Not done,[object Object],106681000,1711720849000,Possible SubHijack,<div>prefix: 209.40.80.0/22</div> <div>subprefix: 209.40.80.0/24</div>,95.19,low,,209.40.80.0/24;209.40.80.0/22;209.40.82.0/24;209.40.80.0/22;209.40.83.0/24;209.40.80.0/22;209.40.81.0/24;209.40.80.0/22,4,1711614168000,13855
