Index,affected_asn,affected_prefix,domain,edit_distance,end_time,event_id,event_type,leak_asn,prefix_list,start_time,status,suspicious_links,suspicious_links_nation,vp_count
0,133524,38.47.46.0/24,,227.86598213411824,1763007011000,ARES-HIJACK-1763006026-133524-38.47.46.0/24-Leak-AGGREGATED,Finish Path Leak,136255,38.47.46.0/24;38.47.40.0/24;38.47.41.0/24;38.47.42.0/24;38.47.43.0/24;38.47.44.0/24;38.47.45.0/24,1763006026000,Finish,4229;136255,US;MM,5
1,133524,38.47.46.0/24,,298.65183993694865,1763015397000,ARES-HIJACK-1763012070-133524-38.47.46.0/24-Leak-AGGREGATED,Finish Path Leak,136255,38.47.46.0/24;38.47.40.0/24;38.47.41.0/24;38.47.42.0/24;38.47.43.0/24;38.47.44.0/24;38.47.45.0/24,1763012070000,Finish,4229;136255,US;MM,5
2,133524,38.47.46.0/24,,223.1102880836497,1763029559000,ARES-HIJACK-1763028449-133524-38.47.46.0/24-Leak-AGGREGATED,Finish Path Leak,136255,38.47.46.0/24;38.47.40.0/24;38.47.41.0/24;38.47.42.0/24;38.47.43.0/24;38.47.44.0/24;38.47.45.0/24,1763028449000,Finish,4229;136255,US;MM,5
3,24016,103.197.167.0/24,,1147.1920657379237,1763051353000,ARES-HIJACK-1763050663-24016-103.197.167.0/24-Leak-AGGREGATED,Finish Path Leak,7642,103.197.167.0/24;220.158.220.0/24,1763050663000,Finish,45489;7642,LK;MV,18
4,133524,38.47.46.0/24,,220.97342941771927,1763109789000,ARES-HIJACK-1763108450-133524-38.47.46.0/24-Leak-AGGREGATED,Finish Path Leak,136255,38.47.46.0/24;38.47.40.0/24;38.47.41.0/24;38.47.42.0/24;38.47.43.0/24;38.47.44.0/24;38.47.45.0/24,1763108450000,Finish,4229;136255,US;MM,5
5,37088,102.135.220.0/24,,295.8907765732165,1763121662000,ARES-HIJACK-1763121019-37088-102.135.220.0/24-Leak-AGGREGATED,Finish Path Leak,30998,102.135.220.0/24,1763121019000,Finish,36940;30998,NG;NG,45
6,133712,43.231.249.0/24,ambergroupindia.com,412.36512098448117,1763251639000,ARES-HIJACK-1763250343-133712-43.231.249.0/24-Leak-AGGREGATED,Finish Path Leak,134674,43.231.249.0/24;220.158.165.0/24;45.248.122.0/24,1763250343000,Finish,4755;134674,IN;IN,5
7,133524,38.47.46.0/24,,220.97342941771927,1763263477000,ARES-HIJACK-1763261764-133524-38.47.46.0/24-Leak-AGGREGATED,Finish Path Leak,136255,38.47.46.0/24;38.47.40.0/24;38.47.41.0/24;38.47.42.0/24;38.47.43.0/24;38.47.44.0/24;38.47.45.0/24,1763261764000,Finish,4229;136255,US;MM,5
8,133524,38.47.46.0/24,,330.2791787704686,1763272692000,ARES-HIJACK-1763270764-133524-38.47.46.0/24-Leak-AGGREGATED,Finish Path Leak,136255,38.47.46.0/24;38.47.40.0/24;38.47.41.0/24;38.47.42.0/24;38.47.43.0/24;38.47.44.0/24;38.47.45.0/24,1763270764000,Finish,4229;136255,US;MM,5
9,131749,103.31.132.0/23,ptncs.com;indocyber.net.id;mediaindocyber.net;lldikti2.id;hjl.co.id,733.0464942176792,1763709787000,ARES-HIJACK-1763646464-131749-103.31.132.0/23-Leak-AGGREGATED,Finish Path Leak,58389,103.31.132.0/23;103.31.134.0/23;103.31.135.0/24;103.31.132.0/24;103.31.133.0/24,1763646464000,Finish,131749;58389,,9
10,38077,154.18.203.0/24,,259.50838937808817,1763724716000,ARES-HIJACK-1763724030-38077-154.18.203.0/24-Leak-AGGREGATED,Finish Path Leak,38757,154.18.203.0/24,1763724030000,Finish,3356;38757,,5
11,37294,41.78.250.0/24,,194.08000766247056,1764077108000,ARES-HIJACK-1764074041-37294-41.78.250.0/24-Leak-AGGREGATED,Finish Path Leak,20459,41.78.250.0/24,1764074041000,Finish,16637;20459,,39
12,45786,111.67.86.0/24,,461.8880372657016,1764326603000,ARES-HIJACK-1764101122-45786-111.67.86.0/24-Leak-AGGREGATED,Finish Path Leak,58389,111.67.86.0/24,1764101122000,Finish,45786;58389,,7
13,37088,102.135.220.0/24,,225.01241639043587,1764244557000,ARES-HIJACK-1764148934-37088-102.135.220.0/24-Leak-AGGREGATED,Finish Path Leak,30998,102.135.220.0/24,1764148934000,Finish,29465;30998,,26
14,327885,196.249.73.0/24,,276.71855065603654,1764370870000,ARES-HIJACK-1764228282-327885-196.249.73.0/24-Leak-AGGREGATED,Finish Path Leak,37133,196.249.73.0/24,1764228282000,Finish,37100;37133,,21
15,36913,196.216.12.0/23,,172.32227929628976,1764235423000,ARES-HIJACK-1764229131-36913-196.216.12.0/23-Leak-AGGREGATED,Finish Path Leak,20459,196.216.12.0/23;196.216.14.0/24,1764229131000,Finish,16637;20459,,40
16,36913,168.253.245.0/24,,182.2094486710931,1764573256000,ARES-HIJACK-1764569253-36913-168.253.245.0/24-Leak-AGGREGATED,Finish Path Leak,20459,168.253.245.0/24;196.216.11.0/24,1764569253000,Finish,16637;20459,,41
17,37294,41.78.250.0/24,,189.4723952341536,1764573256000,ARES-HIJACK-1764569253-37294-41.78.250.0/24-Leak-AGGREGATED,Finish Path Leak,20459,41.78.250.0/24;102.70.19.0/24,1764569253000,Finish,16637;20459,,41
18,37294,102.70.0.0/24,,194.7195950937224,1764573256000,ARES-HIJACK-1764570647-37294-102.70.0.0/24-Leak-AGGREGATED,Finish Path Leak,20459,102.70.0.0/24;168.253.226.0/24,1764570647000,Finish,16637;20459,,41
